epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,27357.6,1.86012,1.43065,1.34507,0.34889,0.23457,0.204,0.0603,2.63035,2.35831,1.85735,0.0007955,0.0007955,0.0007955
75,27538.9,1.86385,1.41127,1.33738,0.34172,0.26148,0.2184,0.06758,2.57396,2.30213,1.86048,0.000779,0.000779,0.000779
76,27716,1.87551,1.39298,1.33393,0.32545,0.27778,0.22549,0.06697,2.65369,2.27069,1.90201,0.0007625,0.0007625,0.0007625
77,27899.4,1.86608,1.42648,1.34558,0.33641,0.26667,0.21821,0.06025,2.64695,2.30813,1.89184,0.000746,0.000746,0.000746
78,28079.9,1.86667,1.41767,1.34534,0.32524,0.31975,0.23586,0.07155,2.61241,2.23438,1.85084,0.0007295,0.0007295,0.0007295
79,28267.4,1.86542,1.43869,1.346,0.39078,0.26296,0.22166,0.06526,2.58646,2.35944,1.87889,0.000713,0.000713,0.000713
80,28474.1,1.83812,1.38878,1.32574,0.28171,0.2716,0.20613,0.06093,2.63872,2.35667,1.87914,0.0006965,0.0006965,0.0006965
81,28676.1,1.83158,1.36421,1.33387,0.27494,0.26296,0.19366,0.05916,2.61658,2.34773,1.87986,0.00068,0.00068,0.00068
82,28882.3,1.8547,1.38141,1.32589,0.33815,0.26914,0.22563,0.06842,2.61209,2.28446,1.87851,0.0006635,0.0006635,0.0006635
83,29069.6,1.80684,1.33314,1.29207,0.32025,0.28642,0.21334,0.064,2.64964,2.34303,1.91982,0.000647,0.000647,0.000647
84,29262.9,1.83499,1.35263,1.32071,0.33499,0.2679,0.21144,0.0662,2.58798,2.34246,1.87234,0.0006305,0.0006305,0.0006305
85,29442.2,1.78727,1.30878,1.30203,0.31384,0.27951,0.21556,0.06551,2.60649,2.32434,1.8787,0.000614,0.000614,0.000614
86,29632.8,1.77575,1.31896,1.28367,0.35985,0.27654,0.23897,0.0723,2.63461,2.30937,1.89405,0.0005975,0.0005975,0.0005975
87,29832.7,1.78703,1.32014,1.2953,0.37936,0.27778,0.23465,0.06879,2.61732,2.28488,1.89658,0.000581,0.000581,0.000581
88,30040,1.78764,1.30317,1.29364,0.30607,0.27654,0.21827,0.06512,2.6253,2.30653,1.89417,0.0005645,0.0005645,0.0005645
89,30244.3,1.77314,1.29674,1.28716,0.28712,0.24911,0.18058,0.05944,2.63339,2.37777,1.89657,0.000548,0.000548,0.000548
90,30433.8,1.76172,1.29483,1.27531,0.36049,0.28272,0.24895,0.07661,2.58903,2.24714,1.88292,0.0005315,0.0005315,0.0005315
91,30613.3,1.79194,1.26737,1.28441,0.35055,0.28395,0.23365,0.06986,2.64104,2.25702,1.93661,0.000515,0.000515,0.000515
92,30792.7,1.76396,1.25787,1.27162,0.31842,0.27108,0.22223,0.06788,2.60518,2.32297,1.88532,0.0004985,0.0004985,0.0004985
93,30972.6,1.74908,1.24911,1.26357,0.35424,0.29506,0.23841,0.0729,2.61248,2.24967,1.90879,0.000482,0.000482,0.000482
94,31166.7,1.76635,1.27278,1.27598,0.37666,0.2963,0.24193,0.07162,2.64313,2.29679,1.9073,0.0004655,0.0004655,0.0004655
95,31349.1,1.71948,1.2205,1.25696,0.34699,0.31111,0.24082,0.07307,2.65482,2.33779,1.91863,0.000449,0.000449,0.000449
96,31527.7,1.73907,1.23805,1.26579,0.38989,0.2963,0.23796,0.06945,2.67593,2.25797,1.92787,0.0004325,0.0004325,0.0004325
97,31706.5,1.73989,1.24293,1.26882,0.36387,0.27037,0.22118,0.06537,2.70259,2.28823,1.97794,0.000416,0.000416,0.000416
98,31884.4,1.71833,1.21345,1.27077,0.33639,0.29012,0.22749,0.06937,2.66499,2.34708,1.9422,0.0003995,0.0003995,0.0003995
99,32062.5,1.7391,1.23295,1.26376,0.3428,0.28889,0.23527,0.07039,2.66847,2.34491,1.93504,0.000383,0.000383,0.000383
100,32242.3,1.68617,1.18455,1.24241,0.35277,0.28272,0.22781,0.06954,2.63851,2.32055,1.91349,0.0003665,0.0003665,0.0003665
101,32420.9,1.67449,1.1852,1.24945,0.35099,0.28395,0.21912,0.06375,2.67495,2.33675,1.94128,0.00035,0.00035,0.00035
102,32602.4,1.69651,1.20267,1.24133,0.34567,0.29383,0.22013,0.06653,2.68118,2.33428,1.96373,0.0003335,0.0003335,0.0003335
103,32782.4,1.68552,1.17352,1.23961,0.34183,0.30494,0.23621,0.07132,2.6928,2.31513,1.96575,0.000317,0.000317,0.000317
104,32961.9,1.6893,1.1575,1.22724,0.37678,0.24929,0.2208,0.06684,2.67388,2.36176,1.94629,0.0003005,0.0003005,0.0003005
105,33140.3,1.67383,1.15724,1.22961,0.32632,0.28519,0.22051,0.06387,2.7046,2.35791,1.98275,0.000284,0.000284,0.000284
106,33320,1.6684,1.16435,1.22408,0.39255,0.24691,0.22132,0.06581,2.70383,2.32652,1.97854,0.0002675,0.0002675,0.0002675
107,33499.5,1.65734,1.14345,1.22157,0.34878,0.26173,0.21043,0.06256,2.70794,2.38267,1.99228,0.000251,0.000251,0.000251
108,33681.5,1.65297,1.14955,1.22981,0.3613,0.25432,0.20945,0.06132,2.72095,2.37247,1.99819,0.0002345,0.0002345,0.0002345
109,33860.4,1.66906,1.16253,1.22132,0.34962,0.29012,0.21929,0.06567,2.69856,2.33576,1.97784,0.000218,0.000218,0.000218
110,34039.1,1.65354,1.15893,1.2244,0.32107,0.28148,0.21251,0.06257,2.69535,2.37586,1.95862,0.0002015,0.0002015,0.0002015
